"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","6","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Rank of leading causes of death","Number","223","units","0","v41341075","1.1.1.18.1","7","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6968","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6945","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7257","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7006","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7044","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7075","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7183","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6861","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6946","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6870","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7010","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7672","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7524","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7777","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","7300","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Diabetes mellitus [E10-E14]","Number of deaths","Number","223","units","0","v41341076","1.1.1.18.2","6874","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","27","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Rank of leading causes of death","Number","223","units","0","v41341077","1.1.1.19.1","28","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","214","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","224","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","243","","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","204","","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","182","","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","169","","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","221","","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","192","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","227","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","250","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Nutritional deficiencies [E40-E64]","Number of deaths","Number","223","units","0","v41341078","1.1.1.19.2","217","","","","0"
